State,District,Incumbent,Party,2012 PVI
Alabama,1,"BONNER, JO ",R,R+14
Alabama,2,"ROBY, MARTHA ",R,R+18
Alabama,3,"ROGERS, MIKE ",R,R+15
Alabama,4,"ADERHOLT, ROBERT B. ",R,R+23
Alabama,5,"BROOKS, MO ",R,R+14
Alabama,6,"BACHUS, SPENCER ",R,R+28
Alabama,7,"Sewell, Terri A. ",D,D+17
Alaska,1,"YOUNG, DON E. ",R,R+13
Arizona,1,"Kirkpatrick, Ann ",D,R+3
Arizona,2,"Barber, Ron ",D,R+2
Arizona,3,"Grijalva, Raul M. ",D,D+7
Arizona,4,"GOSAR, PAUL A. ",R,R+16
Arizona,5,"SALMON, MATT ",R,R+16
Arizona,6,"SCHWEIKERT, DAVID ",R,R+10
Arizona,7,"Pastor, Ed ",D,D+12
Arizona,8,"FRANKS, TRENT ",R,R+13
Arizona,9,"Sinema, Kyrsten ",D,R+1
Arkansas,1,"CRAWFORD, ERIC A. 'RICK' ",R,R+7
Arkansas,2,"GRIFFIN, TIM ",R,R+5
Arkansas,3,"WOMACK, STEVE ",R,R+16
Arkansas,4,"COTTON, TOM ",R,R+9
California,1,"LAMALFA, DOUG ",R,R+10
California,2,"Huffman, Jared ",D,D+19
California,3,"Garamendi, John ",D,D+1
California,4,"MCCLINTOCK, TOM ",R,R+10
California,5,"Thompson, Mike ",D,D+18
California,6,"Matsui, Doris O. ",D,D+13
California,7,"Bera, Ami ",D,R+3
California,8,"COOK, PAUL ",R,R+12
California,9,"McNerney, Jerry ",D,D+2
California,10,"DENHAM, JEFF ",R,R+5
California,11,"Miller, George ",D,D+17
California,12,"Pelosi, Nancy ",D,D+35
California,13,"Lee, Barbara ",D,D+37
California,14,"Speier, Jackie ",D,D+23
California,15,"Swalwell, Eric ",D,D+15
California,16,"Costa, Jim ",D,D+2
California,17,"Honda, Michael M. ",D,D+18
California,18,"Eshoo, Anna G. ",D,D+18
California,19,"Lofgren, Zoe ",D,D+16
California,20,"Farr, Sam ",D,D+19
California,21,"VALADAO, DAVID G. ",R,R+3
California,22,"NUNES, DEVIN G. ",R,R+12
California,23,"MCCARTHY, KEVIN ",R,R+18
California,24,"Capps, Lois ",D,D+3
California,25,"MCKEON, HOWARD P. 'BUCK' ",R,R+6
California,26,"Brownley, Julia ",D,D+2
California,27,"Chu, Judy ",D,D+9
California,28,"Schiff, Adam B. ",D,D+19
California,29,"Cardenas, Tony ",D,D+21
California,30,"Sherman, Brad ",D,D+13
California,31,"MILLER, GARY G. ",R,D+2
California,32,"Napolitano, Grace F. ",D,D+9
California,33,"Waxman, Henry A. ",D,D+12
California,34,"Becerra, Xavier ",D,D+28
California,35,"Negrete McLeod, Gloria ",D,D+10
California,36,"Ruiz, Raul ",D,R+3
California,37,"Bass, Karen R. ",D,D+33
California,38,"Sanchez, Linda T. ",D,D+9
California,39,"ROYCE, EDWARD R. ",R,R+7
California,40,"Roybal-Allard, Lucille ",D,D+25
California,41,"Takano, Mark ",D,D+3
California,42,"CALVERT, KEN ",R,R+12
California,43,"Waters, Maxine ",D,D+23
California,44,"Hahn, Janice ",D,D+29
California,45,"CAMPBELL, JOHN ",R,R+8
California,46,"Sanchez, Loretta ",D,D+3
California,47,"Lowenthal, Alan S. ",D,D+5
California,48,"ROHRABACHER, DANA ",R,R+8
California,49,"ISSA, DARRELL E. ",R,R+5
California,50,"HUNTER, DUNCAN D. ",R,R+14
California,51,"Vargas, Juan ",D,D+11
California,52,"Peters, Scott H. ",D,D+1
California,53,"Davis, Susan A. ",D,D+7
Colorado,1,"DeGette, Diana ",D,D+17
Colorado,2,"Polis, Jared ",D,D+8
Colorado,3,"TIPTON, SCOTT R. ",R,R+4
Colorado,4,"GARDNER, CORY ",R,R+12
Colorado,5,"LAMBORN, DOUG ",R,R+15
