State,District,Trump (%),Clinton (%),Representative
Alabama,1,63.5,34.1,Bradley Byrne
Alabama,2,64.9,33.0,Martha Roby
Alabama,3,65.3,32.3,Mike Rogers
Alabama,4,80.4,17.4,Robert Aderholt
Alabama,5,64.7,31.3,Mo Brooks
Alabama,6,70.8,26.1,Gary Palmer
Alabama,7,28.6,69.8,Terri Sewell
Alaska,1,51.28,36.5,
Arizona,1,47.7,46.6,Ann Kirkpatrick
Arizona,2,44.7,49.6,Martha McSally
Arizona,3,32.5,62.4,Raúl Grijalva
Arizona,4,67.7,27.5,Paul Gosar
Arizona,5,57.6,36.5,Matt Salmon
Arizona,6,52.4,42.4,David Schweikert
Arizona,7,22.6,71.8,Ruben Gallego
Arizona,8,58.1,37.0,Trent Franks
Arizona,9,38.4,54.7,Kyrsten Sinema
Arkansas,1,65.0,30.2,Rick Crawford
Arkansas,2,52.4,41.7,French Hill
Arkansas,3,61.9,30.5,Steve Womack
Arkansas,4,64.2,31.3,Bruce Westerman
California,1,55,36,Doug LaMalfa
California,2,23,69,Jared Huffman
California,3,40,53,John Garamendi
California,4,53,39,Tom McClintock
California,5,24,69,Mike Thompson
California,6,24,68,Doris Matsui
California,7,40,51,Ami Bera
California,8,55,40,Paul Cook
California,9,37,55,Jerry McNerney
California,10,45,48,Jeff Denham
California,11,22,70,Mark DeSaulnier
California,12,9,86,Nancy Pelosi
California,13,7,87,Barbara Lee
California,14,18,77,Jackie Speier
California,15,24,69,Eric Swalwell
California,16,36,57,Jim Costa
California,17,20,74,Mike Honda
California,18,20,73,Anna Eshoo
California,19,22,73,Zoe Lofgren
California,20,23,70,Sam Farr
California,21,39,55,David Valadao
California,22,51,42,Devin Nunes
California,23,58,36,Kevin McCarthy
California,24,36,56,Lois Capps
California,25,43,50,Steve Knight
California,26,35,57,Julia Brownley
California,27,28,66,Judy Chu
California,28,22,72,Adam Schiff
California,29,17,78,Tony Cárdenas
California,30,26,69,Brad Sherman
California,31,37,58,Pete Aguilar
California,32,28,67,Grace Napolitano
California,33,27,68,Ted Lieu
California,34,11,84,Xavier Becerra
California,35,27,68,Norma Torres
California,36,43,52,Raul Ruiz
California,37,10,86,Karen Bass
California,38,27,67,Linda Sánchez
California,39,43,51,Ed Royce
California,40,13,82,Lucille Roybal-Allard
California,41,33,61,Mark Takano
California,42,53,41,Ken Calvert
California,43,17,78,Maxine Waters
California,44,12,83,Janice Hahn
California,45,44,49,Mimi Walters
California,46,28,66,Loretta Sánchez
California,47,31,62,Alan Lowenthal
California,48,46,48,Dana Rohrabacher
California,49,43,51,Darrell Issa
California,50,55,40,Duncan Hunter
California,51,23,72,Juan Vargas
California,52,36,58,Scott Peters
California,53,30,65,Susan Davis
Colorado,1,23,69,Diana DeGette
Colorado,2,35,56,Jared Polis
Colorado,3,52,40,Scott Tipton
Colorado,4,57,34,Ken Buck
Colorado,5,57,33,Doug Lamborn
Colorado,6,41,50,Mike Coffman
Colorado,7,40,52,Ed Perlmutter
Connecticut,1,59.4,36.32,John B. Larson
Connecticut,2,48.66,45.77,Joe Courtney
Connecticut,3,55.88,40.38,Rosa DeLauro
Connecticut,4,59.57,36.56,Jim Himes
Connecticut,5,49.93,45.83,Elizabeth Esty
Delaware,1,41.72,53.09,Lisa Blunt Rochester
Florida,1,68,28,Jeff Miller
Florida,2,66,31,Gwen Graham
Florida,3,56,40,Ted Yoho
Florida,4,62,34,Ander Crenshaw
Florida,5,36,61,Corrine Brown
