State,District,Trump (%),Clinton (%),Representative
Alabama,1,34.1,63.5,Bradley Byrne
Alabama,2,33.0,64.9,Martha Roby
Alabama,3,32.3,65.3,Mike Rogers
Alabama,4,17.4,80.4,Robert Aderholt
Alabama,5,31.3,64.7,Mo Brooks
Alabama,6,26.1,70.8,Gary Palmer
Alabama,7,69.8,28.6,Terri Sewell
Arizona,1,46.6,47.7,Ann Kirkpatrick
Arizona,2,49.6,44.7,Martha McSally
Arizona,3,62.4,32.5,Raúl Grijalva
Arizona,4,27.5,67.7,Paul Gosar
Arizona,5,36.5,57.6,Matt Salmon
Arizona,6,42.4,52.4,David Schweikert
Arizona,7,71.8,22.6,Ruben Gallego
Arizona,8,37.0,58.1,Trent Franks
Arizona,9,54.7,38.4,Kyrsten Sinema
Arkansas,1,30.2,65.0,Rick Crawford
Arkansas,2,41.7,52.4,French Hill
Arkansas,3,30.5,61.9,Steve Womack
Arkansas,4,31.3,64.2,Bruce Westerman
California,1,36,55,Doug LaMalfa
California,2,69,23,Jared Huffman
California,3,53,40,John Garamendi
California,4,39,53,Tom McClintock
California,5,69,24,Mike Thompson
California,6,68,24,Doris Matsui
California,7,51,40,Ami Bera
California,8,40,55,Paul Cook
California,9,55,37,Jerry McNerney
California,10,48,45,Jeff Denham
California,11,70,22,Mark DeSaulnier
California,12,86,9,Nancy Pelosi
California,13,87,7,Barbara Lee
California,14,77,18,Jackie Speier
California,15,69,24,Eric Swalwell
California,16,57,36,Jim Costa
California,17,74,20,Mike Honda
California,18,73,20,Anna Eshoo
California,19,73,22,Zoe Lofgren
California,20,70,23,Sam Farr
California,21,55,39,David Valadao
California,22,42,51,Devin Nunes
California,23,36,58,Kevin McCarthy
California,24,56,36,Lois Capps
California,25,50,43,Steve Knight
California,26,57,35,Julia Brownley
California,27,66,28,Judy Chu
California,28,72,22,Adam Schiff
California,29,78,17,Tony Cárdenas
California,30,69,26,Brad Sherman
California,31,58,37,Pete Aguilar
California,32,67,28,Grace Napolitano
California,33,68,27,Ted Lieu
California,34,84,11,Xavier Becerra
California,35,68,27,Norma Torres
California,36,52,43,Raul Ruiz
California,37,86,10,Karen Bass
California,38,67,27,Linda Sánchez
California,39,51,43,Ed Royce
California,40,82,13,Lucille Roybal-Allard
California,41,61,33,Mark Takano
California,42,41,53,Ken Calvert
California,43,78,17,Maxine Waters
California,44,83,12,Janice Hahn
California,45,49,44,Mimi Walters
California,46,66,28,Loretta Sánchez
California,47,62,31,Alan Lowenthal
California,48,48,46,Dana Rohrabacher
California,49,51,43,Darrell Issa
California,50,40,55,Duncan Hunter
California,51,72,23,Juan Vargas
California,52,58,36,Scott Peters
California,53,65,30,Susan Davis
Colorado,1,69,23,Diana DeGette
Colorado,2,56,35,Jared Polis
Colorado,3,40,52,Scott Tipton
Colorado,4,34,57,Ken Buck
Colorado,5,33,57,Doug Lamborn
Colorado,6,50,41,Mike Coffman
Colorado,7,52,40,Ed Perlmutter
Connecticut,1,36.32,59.4,John B. Larson
Connecticut,2,45.77,48.66,Joe Courtney
Connecticut,3,40.38,55.88,Rosa DeLauro
Connecticut,4,36.56,59.57,Jim Himes
Connecticut,5,45.83,49.93,Elizabeth Esty
Delaware,1,53.09,41.72,Lisa Blunt Rochester
Florida,1,28,68,Jeff Miller
Florida,2,31,66,Gwen Graham
Florida,3,40,56,Ted Yoho
Florida,4,34,62,Ander Crenshaw
Florida,5,61,36,Corrine Brown
Florida,6,40,57,Ron DeSantis
Florida,7,51,44,John Mica
Florida,8,38,58,Bill Posey
Florida,9,55,42,Alan Grayson
Florida,10,62,35,Daniel Webster
Florida,11,33,65,Rich Nugent
Florida,12,39,57,Gus Bilirakis
Florida,13,50,46,David Jolly
Florida,14,57,39,Kathy Castor
Florida,15,43,53,Dennis Ross
Florida,16,43,54,Vern Buchanan
Florida,17,35,62,Tom Rooney
Florida,18,44,53,Patrick Murphy
Florida,19,38,60,Curt Clawson
Florida,20,80,18,Alcee Hastings
Florida,21,59,39,Lois Frankel
Florida,22,57,41,Ted Deutch
Florida,23,62,36,Debbie Wasserman Schultz
Florida,24,81,16,Frederica Wilson
Florida,25,48,50,Mario Díaz-Balart
Florida,26,57,41,Carlos Curbelo
Florida,27,59,39,Ileana Ros-Lehtinen
Georgia,1,41,56,Buddy Carter
Georgia,2,55,43,Sanford Bishop
Georgia,3,33,64,Lynn Westmoreland
Georgia,4,75,22,Hank Johnson
Georgia,5,85,12,John Lewis
Georgia,6,47,48,Tom Price
Georgia,7,45,51,Rob Woodall
Georgia,8,34,63,Austin Scott
Georgia,9,19,78,Doug Collins
Georgia,10,36,61,Jody Hice
Georgia,11,35,60,Barry Loudermilk
Georgia,12,41,57,Rick W. Allen
Georgia,13,71,27,David Scott
Georgia,14,22,75,Tom Graves
Hawaii,1,30.5,63.1,Colleen Hanabusa
Hawaii,2,29.6,61.4,Tulsi Gabbard
Idaho,1,25.4,63.7,Raúl Labrador
Idaho,2,29.8,54.5,Mike Simpson
Illinois,1,22,75,Bobby Rush
Illinois,2,19,79,Robin Kelly
Illinois,3,39,55,Dan Lipinski
Illinois,4,13,81,Luis Gutierrez
Illinois,5,24,70,Mike Quigley
Illinois,6,43,50,Peter Roskam
Illinois,7,9,87,Danny K. Davis
Illinois,8,36,58,Tammy Duckworth
Illinois,9,25,69,Jan Schakowsky
Illinois,10,32,61,Robert Dold
Illinois,11,35,58,Bill Foster
Illinois,12,55,40,Mike Bost
Illinois,13,50,44,Rodney Davis
Illinois,14,48,45,Randy Hultgren
Illinois,15,71,24,John Shimkus
Illinois,16,55,38,Adam Kinzinger
Illinois,17,47,47,Cheri Bustos
Illinois,18,60,33,Darin LaHood
Indiana,1,54,41,Pete Visclosky
Indiana,2,36,59,Jackie Walorski
Indiana,3,30,65,Marlin Stutzman
Indiana,4,30,64,Todd Rokita
Indiana,5,41,53,Susan Brooks
Indiana,6,27,68,Luke Messer
Indiana,7,58,36,André Carson
Indiana,8,31,64,Larry Bucshon
Indiana,9,34,61,Todd Young
Iowa,1,45,48,Rod Blum
Iowa,2,44,49,Dave Loebsack
Iowa,3,45,48,David Young
Iowa,4,33,60,Steve King
Kansas,1,69.29,24.32,Roger Marshall
Kansas,2,55.8,37.4,Lynn Jenkins
Kansas,3,46.0,47.2,Kevin Yoder
Kansas,4,60.2,32.98,Mike Pompeo
Kentucky,1,24,72,Ed Whitfield
Kentucky,2,28,68,Brett Guthrie
Kentucky,3,55,40,John Yarmuth
Kentucky,4,29,65,Thomas Massie
Kentucky,5,18,80,Hal Rogers
Kentucky,6,39,55,Andy Barr
Louisiana,1,27,69,Steve Scalise
Louisiana,2,75,22,Cedric Richmond
Louisiana,3,29,67,Clay Higgins
Louisiana,4,37,61,Mike Johnson
Louisiana,5,34,64,Ralph Abraham
Louisiana,6,31,65,Garret Graves
Maine,1,53.96,39.15,Chellie Pingree
Maine,2,40.97,51.26,Bruce Poliquin
Maryland,1,60,35,Andy Harris
Maryland,2,37,58,Dutch Ruppersberger
Maryland,3,32,63,John Sarbanes
Maryland,4,20,77,Donna Edwards
Maryland,5,31,65,Steny Hoyer
