State,District,Obama (%),Romney (%),Representative,
Alabama,1,61.84,37.4,Jo Bonner,
Alabama,2,62.9,36.4,Martha Roby,
Alabama,3,62.3,36.8,Mike Rogers,
Alabama,4,74.8,23.98,Robert Aderholt,
Alabama,5,63.87,34.85,Mo Brooks,
Alabama,6,74.3,24.66,Spencer Bachus,
Alabama,7,27.12,72.4,Terri Sewell,
Arizona,1,47.89,50.42,Ann Kirkpatrick,
Arizona,2,48.37,49.94,Ron Barber,
Arizona,3,61.44,36.94,Raúl Grijalva,
Arizona,4,31.02,67.19,Paul Gosar,
Arizona,5,34.56,63.76,,
Arizona,6,38.82,59.52,David Schweikert,
Arizona,7,71.7,26.51,Ed Pastor,
Arizona,8,36.87,61.68,Trent Franks,
Arizona,9,51.12,46.59,Kyrsten Sinema,
Arkansas,1,60.98,36.33,Rick Crawford,
Arkansas,2,54.75,42.9,Timothy Griffin,
Arkansas,3,65.47,31.6,Steve Womack,
Arkansas,4,61.83,35.88,Tom Cotton,
California,1,56.56,40.27,Doug LaMalfa,
California,2,26.96,69,Jared Huffman,
California,3,43.1,54.3,John Garamendi,
California,4,57.87,39.53,Tom McClintock,
California,5,27.46,69.7,Mike Thompson,
California,6,28.28,69.14,Doris Matsui,
California,7,46.8,50.75,Ami Bera,
California,8,55.63,41.66,Paul Cook,
California,9,40.13,57.84,Jerry McNerney,
California,10,47,50.64,Jeff Denham,
California,11,29.96,67.64,George Miller,
California,12,12.5,84.1,Nancy Pelosi,
California,13,8.97,87.5,Barbara Lee,
California,14,23.56,74.23,Jackie Speier,
California,15,29.8,68,Eric Swalwell,
California,16,39.36,58.55,Jim Costa,
California,17,25.54,71.93,Mike Honda,
California,18,28.93,68.23,Anna Eshoo,
California,19,26.5,71.21,Zoe Lofgren,
California,20,26.19,70.89,Sam Farr,
California,21,43.54,54.6,David Valadao,
California,22,56.59,41.58,Devin Nunes,
California,23,61.51,36.13,Kevin McCarthy,
California,24,43.11,54.1,Lois Capps,
California,25,49.66,47.85,Buck McKeon,
California,26,43.73,54,Julia Brownley,
California,27,35,62.62,Judy Chu,
California,28,26.54,70.3,Adam Schiff,
California,29,20.52,77,Tony Cárdenas,
California,30,32.1,65.3,Brad Sherman,
California,31,40.6,57.2,Gary Miller,
California,32,32.46,65.17,Grace Napolitano,
California,33,36.77,60.6,Henry Waxman,
California,34,14.14,83,Xavier Becerra,
California,35,30.56,67.38,Gloria Negrete McLeod,
California,36,47.5,50.7,Raul Ruiz,
California,37,12.7,84.9,Karen Bass,
California,38,32.97,64.9,Linda Sánchez,
California,39,50.75,47.1,Ed Royce,
California,40,16.5,81.5,Lucille Roybal-Allard,
California,41,36.3,61.5,Mark Takano,
California,42,56.53,41.4,Ken Calvert,
California,43,20,78,Maxine Waters,
California,44,13.6,84.7,Janice Hahn,
California,45,54.78,43,John B. T. Campbell III,
California,46,36.18,61.4,Loretta Sánchez,
California,47,37.5,60,Alan Lowenthal,
California,48,54.7,43,Dana Rohrabacher,
California,49,52.25,45.66,Darrell Issa,
California,50,60.4,37.56,Duncan Hunter,
California,51,28.86,69.36,Juan Vargas,
California,52,45.66,52.1,Scott Peters,
California,53,36.4,61.4,Susan Davis,
Colorado,1,28.83,69,Diana DeGette,
Colorado,2,39.51,57.92,Jared Polis,
Colorado,3,51.8,45.77,Scott Tipton,
Colorado,4,58.5,39.22,Cory Gardner,
Colorado,5,59.12,38.3,Doug Lamborn,
Colorado,6,46.5,51.56,Mike Coffman,
Colorado,7,41.26,56.09,Ed Perlmutter,
Connecticut,1,63.3,35.6,John B. Larson,
Connecticut,2,55.9,42.57,Joe Courtney,
Connecticut,3,62.6,36.3,Rosa DeLauro,
Connecticut,4,55.07,44.02,Jim Himes,
Connecticut,5,53.53,45.31,Elizabeth Esty,
Delaware,1,39.98,58.61,John Carney,
Florida,1,68.66,30.18,Jeff Miller,
Florida,2,52.38,46.52,Steve Southerland,
Florida,3,61.5,37.5,Ted Yoho,
Florida,4,63.62,35.45,Ander Crenshaw,
Florida,5,28.05,71.23,Corrine Brown,
Florida,6,57.7,41.4,Ron DeSantis,
Florida,7,51.81,47.1,John Mica,
Florida,8,56.76,42.18,Bill Posey,
