State,District,Obama (%),Romney (%),Representative
Alabama,1,37.4,61.84,Jo Bonner
Alabama,2,36.4,62.9,Martha Roby
Alabama,3,36.8,62.3,Mike Rogers
Alabama,4,23.98,74.8,Robert Aderholt
Alabama,5,34.85,63.87,Mo Brooks
Alabama,6,24.66,74.3,Spencer Bachus
Alabama,7,72.4,27.12,Terri Sewell
Alaska,1,40.81,54.80,Don Young
Arizona,1,47.89,50.42,Ann Kirkpatrick
Arizona,2,48.37,49.94,Ron Barber
Arizona,3,61.44,36.94,Raúl Grijalva
Arizona,4,31.02,67.19,Paul Gosar
Arizona,5,5th,34.56,63.76%
Arizona,6,38.82,59.52,David Schweikert
Arizona,7,71.7,26.51,Ed Pastor
Arizona,8,36.87,61.68,Trent Franks
Arizona,9,51.12,46.59,Kyrsten Sinema
Arkansas,1,36.33,60.98,Rick Crawford
Arkansas,2,42.9,54.75,Timothy Griffin
Arkansas,3,31.6,65.47,Steve Womack
Arkansas,4,35.88,61.83,Tom Cotton
California,1,40,57,Doug LaMalfa
California,2,69,27,Jared Huffman
California,3,54,43,John Garamendi
California,4,40,58,Tom McClintock
California,5,70,27,Mike Thompson
California,6,69,28,Doris Matsui
California,7,51,47,Ami Bera
California,8,42,56,Paul Cook
California,9,58,40,Jerry McNerney
California,10,51,47,Jeff Denham
California,11,68,30,George Miller
California,12,84,12,Nancy Pelosi
California,13,88,9,Barbara Lee
California,14,74,24,Jackie Speier
California,15,68,30,Eric Swalwell
California,16,59,39,Jim Costa
California,17,72,26,Mike Honda
California,18,68,29,Anna Eshoo
California,19,71,27,Zoe Lofgren
California,20,71,26,Sam Farr
California,21,55,44,David Valadao
California,22,42,57,Devin Nunes
California,23,36,62,Kevin McCarthy
California,24,54,43,Lois Capps
California,25,48,50,Buck McKeon
California,26,54,44,Julia Brownley
California,27,63,35,Judy Chu
California,28,70,27,Adam Schiff
California,29,77,21,Tony Cárdenas
California,30,65,32,Brad Sherman
California,31,57,41,Gary Miller
California,32,65,32,Grace Napolitano
California,33,61,37,Henry Waxman
California,34,83,14,Xavier Becerra
California,35,67,31,Gloria Negrete McLeod
California,36,51,48,Raul Ruiz
California,37,85,13,Karen Bass
California,38,65,33,Linda Sánchez
California,39,47,51,Ed Royce
California,40,81,17,Lucille Roybal-Allard
California,41,62,36,Mark Takano
California,42,41,57,Ken Calvert
California,43,78,20,Maxine Waters
California,44,85,14,Janice Hahn
California,45,43,55,John B. T. Campbell III
California,46,61,36,Loretta Sánchez
California,47,60,37,Alan Lowenthal
California,48,43,55,Dana Rohrabacher
California,49,46,52,Darrell Issa
California,50,38,60,Duncan Hunter
California,51,69,29,Juan Vargas
California,52,52,46,Scott Peters
California,53,61,36,Susan Davis
Colorado,1,69,28.83,Diana DeGette
Colorado,2,57.92,39.51,Jared Polis
Colorado,3,45.77,51.8,Scott Tipton
Colorado,4,39.22,58.5,Cory Gardner
Colorado,5,38.3,59.12,Doug Lamborn
Colorado,6,51.56,46.5,Mike Coffman
Colorado,7,56.09,41.26,Ed Perlmutter
Connecticut,1,63.3,35.6,John B. Larson
Connecticut,2,55.9,42.57,Joe Courtney
Connecticut,3,62.6,36.3,Rosa DeLauro
Connecticut,4,55.07,44.02,Jim Himes
Connecticut,5,53.53,45.31,Elizabeth Esty
Delaware,1,58.61,39.98,John Carney
Florida,1,30.18,68.66,Jeff Miller
Florida,2,46.52,52.38,Steve Southerland
Florida,3,37.5,61.5,Ted Yoho
Florida,4,35.45,63.62,Ander Crenshaw
Florida,5,71.23,28.05,Corrine Brown
Florida,6,41.4,57.7,Ron DeSantis
Florida,7,47.1,51.81,John Mica
Florida,8,42.18,56.76,Bill Posey
Florida,9,61.94,37.21,Alan Grayson
Florida,10,45.72,53.35,Daniel Webster
Florida,11,40.23,58.85,Rich Nugent
Florida,12,44.77,54.04,Gus Bilirakis
Florida,13,50.12,48.65,Bill Young
Florida,14,65.05,33.96,Kathy Castor
Florida,15,45.58,53.33,Dennis Ross
Florida,16,44.9,54.22,Vern Buchanan
Florida,17,41.2,57.88,Tom Rooney
Florida,18,47.56,51.72,Patrick Murphy
Florida,19,38.76,60.6,Trey Radel
Florida,20,82.16,16.98,Alcee Hastings
Florida,21,60.6,38.85,Ted Deutch
Florida,22,54.38,44.93,Lois Frankel
Florida,23,61.5,37.9,Debbie Wasserman Schultz
Florida,24,87.52,12.17,Frederica Wilson
Florida,25,48.7,50.8,Mario Díaz-Balart
Florida,26,53.1,46.35,Joe Garcia
Florida,27,53.05,46.45,Ileana Ros-Lehtinen
Georgia,1,43,55.9,Jack Kingston
Georgia,2,58.6,40.8,Sanford Bishop
Georgia,3,33,65.85,Lynn Westmoreland
Georgia,4,73.6,25.6,Hank Johnson
Georgia,5,83.1,15.8,John Lewis
Georgia,6,37.45,60.8,Tom Price
Georgia,7,38.32,60.23,Rob Woodall
Georgia,8,37.48,61.63,Austin Scott
Georgia,9,20.5,78.14,Doug Collins
Georgia,10,36.3,62.46,Paul Broun
Georgia,11,31.5,66.9,Phil Gingrey
Georgia,12,43.64,55.42,John Barrow
Georgia,13,69.24,29.97,David Scott
Georgia,14,25.3,73.21,Tom Graves
Hawaii,1,69.7,29.02,Colleen Hanabusa
Hawaii,2,71.38,26.67,Tulsi Gabbard
Idaho,1,32.19,64.91,Raúl Labrador
Idaho,2,33.07,64.14,Mike Simpson
Illinois,1,78.94,20.25,Bobby Rush
Illinois,2,80.7,18.53,Jesse Jackson Jr.
Illinois,3,55.93,42.98,Dan Lipinski
Illinois,4,80.9,17.06,Luis Gutierrez
Illinois,5,66,31.81,Mike Quigley
Illinois,6,45.1,53.31,Peter Roskam
Illinois,7,87.22,11.79,Danny K. Davis
Illinois,8,57.39,40.94,Tammy Duckworth
Illinois,9,65,33.29,Jan Schakowsky
Illinois,10,57.52,41.14,Brad Schneider
Illinois,11,57.82,40.64,Bill Foster
Illinois,12,49.74,48.13,William Enyart
Illinois,13,48.64,48.95,Rodney Davis
Illinois,14,44.18,54.2,Randy Hultgren
Illinois,15,34.06,63.94,John Shimkus
Illinois,16,45.17,52.89,Adam Kinzinger
Illinois,17,57.58,40.64,Cheri Bustos
Illinois,18,37.4,60.66,Aaron Schock
Indiana,1,61.19,37.39,Pete Visclosky
Indiana,2,42.14,56.1,Jackie Walorski
Indiana,3,35.7,62.54,Marlin Stutzman
Indiana,4,36.87,60.88,Todd Rokita
Indiana,5,40.7,57.5,Susan Brooks
Indiana,6,37.28,60.43,Luke Messer
Indiana,7,62.9,35.35,André Carson
Indiana,8,39.61,58.37,Larry Bucshon
Indiana,9,40.7,57.17,Todd Young
Iowa,1,56.2,42.53,Bruce Braley
Iowa,2,55.78,42.74,Dave Loebsack
Iowa,3,51.45,47.16,Tom Latham
Iowa,4,45.26,53.42,Steve King
Kansas,1,28,70,Tim Huelskamp
Kansas,2,42,55,Lynn Jenkins
Kansas,3,44,54,Kevin Yoder
Kansas,4,36,61,Mike Pompeo
Kentucky,1,32.1,66.4,Ed Whitfield
Kentucky,2,35.15,63.28,Brett Guthrie
Kentucky,3,55.73,42.8,John Yarmuth
Kentucky,4,34.83,63.38,Thomas Massie
Kentucky,5,23.25,75,Hal Rogers
Kentucky,6,42.16,55.8,Andy Barr
Louisiana,1,26.86,70.85,Steve Scalise
Louisiana,2,75.84,22.81,Cedric Richmond
Louisiana,3,32.26,66.1,Charles Boustany
Louisiana,4,39.66,59,John Fleming
Louisiana,5,37.66,61,Rodney Alexander
Louisiana,6,31.96,66.15,Bill Cassidy
Maine,1,59.97,38.18,Chellie Pingree
Maine,2,52.94,44.38,Mike Michaud
Maryland,1,38,60,Andy Harris
Maryland,2,63,35,Dutch Ruppersberger
Maryland,3,61,37,John Sarbanes
Maryland,4,78,21,Donna Edwards
Maryland,5,66,32,Steny Hoyer
Maryland,6,55,43,John Delaney
Maryland,7,76,22,Elijah Cummings
Maryland,8,62,36,Chris Van Hollen
Massachusetts,1,63.96,34.27,Richard Neal
Massachusetts,2,58.7,39.18,Jim McGovern
Massachusetts,3,56.91,41.41,Niki Tsongas
Massachusetts,4,57.24,41.29,Joseph Kennedy III
Massachusetts,5,65.19,33.13,Ed Markey
Massachusetts,6,54.74,43.89,John F. Tierney
Massachusetts,7,82.46,15.64,Mike Capuano
Massachusetts,8,57.78,40.85,Stephen Lynch
Massachusetts,9,55.54,43.14,William R. Keating
Michigan,1,45,53,Dan Benishek
Michigan,2,43,56,Bill Huizenga
Michigan,3,46,53,Justin Amash
Michigan,4,46,54,Dave Camp
Michigan,5,61,38,Dan Kildee
Michigan,6,49,50,Fred Upton
Michigan,7,48,51,Tim Walberg
Michigan,8,48,51,Mike Rogers
Michigan,9,57,42,Sander Levin
Michigan,10,44,55,Candice Miller
Michigan,11,47,52,Kerry Bentivolio
Michigan,12,66,33,John Dingell
Michigan,13,85,14,John Conyers
Michigan,14,81,18,Gary Peters
Minnesota,1,49,48,Tim Walz
Minnesota,2,48.9,48.8,John Kline
Minnesota,3,49.5,48.7,Erik Paulsen
Minnesota,4,62,35,Betty McCollum
Minnesota,5,73,24,Keith Ellison
Minnesota,6,41,56,Michele Bachmann
Minnesota,7,44,54,Collin Peterson
Minnesota,8,51,46,Rick Nolan
Mississippi,1,37,61.87,Alan Nunnelee
Mississippi,2,66.4,33,Bennie Thompson
Mississippi,3,39.1,60,Gregg Harper
Mississippi,4,31.24,67.6,Steven Palazzo
Missouri,1,79.87,18.9,Lacy Clay
Missouri,2,41.44,57.14,Ann Wagner
Missouri,3,36,62,Blaine Luetkemeyer
Missouri,4,36.41,61.24,Vicky Hartzler
Missouri,5,58.9,39.36,Emanuel Cleaver
Missouri,6,37.9,60,Sam Graves
Missouri,7,30.34,67.56,Billy Long
Missouri,8,32,65.88,Jo Ann Emerson
Montana,1,41.7,55.35,Steve Daines
Nebraska,1,41,57,Jeff Fortenberry
Nebraska,2,46,53,Lee Terry
Nebraska,3,28,70,Adrian Smith
Nevada,1,65.64,32.4,Dina Titus
Nevada,2,44.82,52.88,Mark Amodei
Nevada,3,49.53,48.73,Joe Heck
Nevada,4,54.43,43.71,Steven Horsford
New Hampshire,1,50.21,48.6,Carol Shea-Porter
New Hampshire,2,54.16,44.51,Ann McLane Kuster
New Jersey,1,65,34,Rob Andrews
New Jersey,2,54,45,Frank LoBiondo
New Jersey,3,52,47,Jon Runyan
New Jersey,4,45,54,Chris Smith
New Jersey,5,5th,49,51%
New Jersey,6,61,37,Frank Pallone Jr.
New Jersey,7,46,53,Leonard Lance
New Jersey,8,78,21,Albio Sires
New Jersey,9,68,31,Bill Pascrell
New Jersey,10,88,12,Donald Payne Jr.
New Jersey,11,47,52,Rodney Frelinghuysen
New Jersey,12,67,32,Rush Holt Jr.
New Mexico,1,55.25,39.6,Michelle Lujan Grisham
New Mexico,2,44.9,51.72,Steve Pearce
New Mexico,3,57.52,38.67,Ben Ray Luján
New York,1,49.62,49.08,Tim Bishop
New York,2,51.65,47.23,Peter T. King
New York,3,50.76,48.21,Steve Israel
New York,4,56.31,42.76,Carolyn McCarthy
New York,5,90.6,9.1,Gregory Meeks
New York,6,67.8,31.05,Grace Meng
New York,7,88.35,10.34,Nydia Velázquez
New York,8,89.26,10.14,Hakeem Jeffries
New York,9,85.28,13.84,Yvette Clarke
New York,10,73.64,25,Jerry Nadler
New York,11,51.6,47.32,Michael Grimm
New York,12,76.92,21.51,Carolyn Maloney
New York,13,94.64,4.56,Charles B. Rangel
New York,14,80.67,18.27,Joe Crowley
New York,15,96.75,3,Jose Serrano
New York,16,73.69,25.53,Eliot Engel
New York,17,57.07,41.84,Nita Lowey
New York,18,51.43,47.15,Sean Patrick Maloney
New York,19,52.12,45.85,Chris Gibson
New York,20,59.2,38.8,Paul Tonko
New York,21,52.24,46.07,Bill Owens
New York,22,48.76,49.24,Richard L. Hanna
New York,23,48.38,49.59,Tom Reed
New York,24,57,41.1,Dan Maffei
New York,25,58.77,39.41,Louise Slaughter
New York,26,63.94,34.31,Brian Higgins
New York,27,42.89,55.29,Chris Collins
North Carolina,1,71.60,27.88,G. K. Butterfield
North Carolina,2,41.71,57.26,Renee Ellmers
North Carolina,3,41.01,57.99,Walter B. Jones
North Carolina,4,71.43,27.41,David Price
North Carolina,5,39.77,59.06,Virginia Foxx
North Carolina,6,41.34,57.65,Howard Coble
North Carolina,7,39.86,59.24,Mike McIntyre
North Carolina,8,41.00,58.06,Larry Kissell
North Carolina,9,42.81,56.19,Sue Myrick
North Carolina,10,40.89,58.00,Patrick McHenry
North Carolina,11,37.79,60.90,Heath Shuler
North Carolina,12,78.54,20.79,Mel Watt
North Carolina,13,43.53,55.45,Brad Miller
North Dakota,1,38.7,58.32,Kevin Cramer
Ohio,1,46.26,52.4,Steve Chabot
Ohio,2,43.66,54.75,Brad Wenstrup
Ohio,3,69.65,28.9,Joyce Beatty
Ohio,4,42,55.98,Jim Jordan
Ohio,5,44.1,53.88,Bob Latta
Ohio,6,42.67,55.2,Bill Johnson
Ohio,7,44.23,53.71,Bob Gibbs
Ohio,8,36.45,61.9,John Boehner
Ohio,9,67.55,30.87,Marcy Kaptur
Ohio,10,48.23,50.14,Mike Turner
Ohio,11,82.74,16.55,Marcia Fudge
Ohio,12,43.9,54.37,Pat Tiberi
Ohio,13,62.95,35.42,Tim Ryan
Ohio,14,47.58,50.89,David Joyce
Ohio,15,46.34,51.86,Steve Stivers
Ohio,16,45.19,53.35,Jim Renacci
Oklahoma,1,34.2,65.8,Jim Bridenstine
Oklahoma,2,32.2,67.8,Markwayne Mullin
Oklahoma,3,26.1,73.9,Frank Lucas
Oklahoma,4,32.9,67.1,Tom Cole
Oklahoma,5,40.8,59.2,James Lankford
Oregon,1,57.28,40.01,Suzanne Bonamici
Oregon,2,40.46,56.83,Greg Walden
Oregon,3,72.03,24.68,Earl Blumenauer
Oregon,4,51.74,44.98,Peter DeFazio
Oregon,5,50.49,47.11,Kurt Schrader
Pennsylvania,1,82.26,16.89,Bob Brady
Pennsylvania,2,90.41,8.95,Chaka Fattah
Pennsylvania,3,43.05,55.60,Mike Kelly
Pennsylvania,4,41.51,57.07,Jason Altmire
Pennsylvania,5,41.35,56.95,Glenn Thompson
Pennsylvania,6,48.12,50.57,Jim Gerlach
Pennsylvania,7,48.53,50.36,Pat Meehan
Pennsylvania,8,49.35,49.42,Mike Fitzpatrick
Pennsylvania,9,35.87,62.82,Bill Shuster
Pennsylvania,10,38.46,60.11,Tom Marino
Pennsylvania,11,44.57,53.90,Lou Barletta
Pennsylvania,12,40.94,57.81,Mark Critz
Pennsylvania,13,66.17,32.91,Allyson Schwartz
Pennsylvania,14,67.99,30.64,Mike Doyle
Pennsylvania,15,47.87,50.78,Charlie Dent
Pennsylvania,16,46.25,52.35,Joe Pitts
Pennsylvania,17,55.38,43.26,Tim Holden
Pennsylvania,18,40.99,57.95,Tim Murphy
Rhode Island,1,66.21,32.18,David Cicilline
Rhode Island,2,59.84,38.29,James Langevin
South Carolina,1,40.2,58.25,Tim Scott
South Carolina,2,39.43,59.14,Joe Wilson
South Carolina,3,33.95,64.55,Jeff Duncan
South Carolina,4,36.2,62.17,Trey Gowdy
South Carolina,5,43.62,55.1,Mick Mulvaney
South Carolina,6,70.9,28.1,Jim Clyburn
South Carolina,7,44.43,54.55,Tom Rice
South Dakota,1,39.87,57.89,Kristi Noem
Tennessee,1,30.9,67.3,"John J. Duncan, Jr."
Tennessee,2,35.1,63.3,Chuck Fleischmann
Tennessee,3,33.1,65.3,Scott DesJarlais
Tennessee,4,55.9,42.5,Jim Cooper
Tennessee,5,29.5,69.1,Diane Black
Tennessee,6,32.9,65.7,Marsha Blackburn
Tennessee,7,32.8,66.1,Stephen Fincher
Tennessee,8,78.3,20.9,Steve Cohen
Texas,1,27.5,71.5,Louie Gohmert
Texas,2,35.56,63.95,Ted Poe
Texas,3,34.21,64.32,Sam Johnson
Texas,4,24.8,74,Ralph Hall
Texas,5,34.4,64.5,Jeb Hensarling
Texas,6,40.8,57.9,Joe Barton
Texas,7,38.6,59.9,John Culberson
Texas,8,21.75,77,Kevin Brady
Texas,9,78,21,Al Green
Texas,10,38.8,59.12,Michael McCaul
Texas,11,19.57,79.17,Mike Conaway
Texas,12,31.68,66.84,Kay Granger
Texas,13,18.5,80.2,Mac Thornberry
Texas,14,39.5,59.34,Randy Weber
Texas,15,57.44,41.55,Rubén Hinojosa
Texas,16,64.2,34.5,Beto O'Rourke
Texas,17,37.7,60.4,Bill Flores
Texas,18,76.13,22.81,Sheila Jackson Lee
Texas,19,25.0,73.6,Randy Neugebauer
Texas,20,58.9,39.7,Joaquín Castro
Texas,21,37.9,59.84,Lamar Smith
Texas,22,36.7,62.13,Pete Olson
Texas,23,48.1,50.74,Pete Gallego
Texas,24,37.99,60.44,Kenny Marchant
Texas,25,37.8,59.9,Roger Williams
Texas,26,30.7,67.6,Michael Burgess
Texas,27,38.19,60.53,Blake Farenthold
Texas,28,60.3,38.7,Henry Cuellar
Texas,29,65.9,32.99,Gene Green
Texas,30,79.63,19.65,Eddie Bernice Johnson
Texas,31,38.25,59.59,John Carter
Texas,32,41.48,57,Pete Sessions
Texas,33,71.95,27.1,Marc Veasey
Texas,34,60.8,38.33,Filemon Vela Jr.
Texas,35,63,34.63,Lloyd Doggett
Texas,36,25.7,73.15,Steve Stockman
Utah,1,20,77,Rob Bishop
Utah,2,29,68,Chris Stewart
Utah,3,19,78,Jason Chaffetz
Utah,4,30,67,Jim Matheson
Vermont,1,66.57,30.97,Peter Welch
Virginia,1,45.6,53.1,Rob Wittman
Virginia,2,50.1,48.6,Scott Rigell
Virginia,3,78.96,19.99,Bobby Scott
Virginia,4,48.77,50.14,Randy Forbes
Virginia,5,45.88,52.55,Robert Hurt
Virginia,6,39.46,58.84,Bob Goodlatte
Virginia,7,41.72,56.94,Eric Cantor
Virginia,8,67.76,31.0,Jim Moran
Virginia,9,34.9,63.08,Morgan Griffith
Virginia,10,48.8,49.9,Frank Wolf
Virginia,11,62.46,36.3,Gerry Connolly
West Virginia,1,35.54,62.18,David McKinley
West Virginia,2,37.97,60,Shelley Moore Capito
West Virginia,3,32.79,65,Nick Rahall
Wisconsin,1,47.44,51.65,Paul Ryan
Wisconsin,2,68.3,30.46,Mark Pocan
Wisconsin,3,54.82,43.82,Ron Kind
Wisconsin,4,75.33,23.78,Gwen Moore
Wisconsin,5,37.75,61.31,Jim Sensenbrenner
Wisconsin,6,45.77,53.1,Tom Petri
Wisconsin,7,47.83,50.92,Sean Duffy
Wisconsin,8,47.56,51.26,Reid Ribble
Wyoming,1,27.82,68.64,Cynthia Lummis
