State,District,Trump (%),Clinton (%),Representative
Alabama,1,63,34,Bradley Byrne
Alabama,2,64,33,Martha Roby
Alabama,3,65,32,Mike Rogers
Alabama,4,80,17,Robert Aderholt
Alabama,5,64,31,Mo Brooks
Alabama,6,70,26,Gary Palmer
Alabama,7,29,69,Terri Sewell
Alaska,1,51.28,36.55,Don Young
Arizona,1,47,46,Ann Kirkpatrick
Arizona,2,44,49,Martha McSally
Arizona,3,32,62,Raúl Grijalva
Arizona,4,67,27,Paul Gosar
Arizona,5,56,36,Matt Salmon
Arizona,6,52,42,David Schweikert
Arizona,7,22,71,Ruben Gallego
Arizona,8,57,36,Trent Franks
Arizona,9,38,53,Kyrsten Sinema
Arkansas,1,65,30,Rick Crawford
Arkansas,2,52,42,French Hill
Arkansas,3,62,30,Steve Womack
Arkansas,4,64,31,Bruce Westerman
California,1,56,37,Doug LaMalfa
California,2,23,69,Jared Huffman
California,3,40,53,John Garamendi
California,4,54,39,Tom McClintock
California,5,24,69,Mike Thompson
California,6,24,69,Doris Matsui
California,7,41,52,Ami Bera
California,8,55,40,Paul Cook
California,9,38,57,Jerry McNerney
California,10,46,49,Jeff Denham
California,11,23,72,Mark DeSaulnier
California,12,9,86,Nancy Pelosi
California,13,7,87,Barbara Lee
California,14,18,77,Jackie Speier
California,15,24,70,Eric Swalwell
California,16,36,58,Jim Costa
California,17,20,74,Mike Honda
California,18,20,73,Anna Eshoo
California,19,21,73,Zoe Lofgren
California,20,23,70,Sam Farr
California,21,40,55,David Valadao
California,22,52,43,Devin Nunes
California,23,58,36,Kevin McCarthy
California,24,36,57,Lois Capps
California,25,44,50,Steve Knight
California,26,36,58,Julia Brownley
California,27,28,66,Judy Chu
California,28,22,72,Adam Schiff
California,29,17,78,Tony Cárdenas
California,30,26,69,Brad Sherman
California,31,37,58,Pete Aguilar
California,32,28,67,Grace Napolitano
California,33,26,68,Ted Lieu
California,34,11,84,Xavier Becerra
California,35,27,68,Norma Torres
California,36,43,52,Raul Ruiz
California,37,10,86,Karen Bass
California,38,27,67,Linda Sánchez
California,39,43,51,Ed Royce
California,40,13,82,Lucille Roybal-Allard
