State,District,Trump_two (%),Biden (%),Representative
Alabama,1,63.7,35.3,Jerry Carl
Alabama,2,63.9,35.1,Barry Moore
Alabama,3,65.3,33.7,Mike Rogers
Alabama,4,81.2,17.8,Robert Aderholt
Alabama,5,62.7,35.7,Mo Brooks
Alabama,6,67.0,31.8,Gary Palmer
Alabama,7,28.5,70.8,Terri Sewell
Alaska,1,52.8,42.8,Don Young
Arkansas,1,69.1,27.9,Rick Crawford
Arkansas,2,53.1,44.3,French Hill
Arkansas,3,61.9,35.2,Steve Womack
Arkansas,4,67.7,29.6,Bruce Westerman
Arizona,1,48.4,50.1,Tom O'Halleran
Arizona,2,43.9,54.5,Ann Kirkpatrick
Arizona,3,35.7,62.8,Raúl Grijalva
Arizona,4,68.0,30.6,Paul Gosar
Arizona,5,56.4,41.9,Andy Biggs
Arizona,6,51.4,47.3,David Schweikert
Arizona,7,24.7,73.7,Ruben Gallego
Arizona,8,57.3,41.4,Debbie Lesko
Arizona,9,37.3,60.8,Greg Stanton
California,1,56.4,41.1,Doug LaMalfa
California,2,23.9,73.6,Jared Huffman
California,3,42.7,54.9,John Garamendi
California,4,53.7,43.9,Tom McClintock
California,5,25.3,72.5,Mike Thompson
California,6,27.2,70.3,Doris Matsui
California,7,41.9,55.7,Ami Bera
California,8,54.1,43.6,Paul Cook
California,9,39.9,57.9,Jerry McNerney
California,10,47.4,50.3,Josh Harder
California,11,23.6,74.3,Mark DeSaulnier
California,12,11.9,86.1,Nancy Pelosi
California,13,9,89,Barbara Lee
California,14,20.5,77.7,Jackie Speier
California,15,26.4,71.5,Eric Swalwell
California,16,38.9,58.8,Jim Costa
California,17,25.6,72.5,Ro Khanna
California,18,21.5,76.2,Anna Eshoo
California,19,27.9,70,Zoe Lofgren
California,20,25,72.7,Jimmy Panetta
California,21,43.5,54.4,TJ Cox
California,22,51.7,46.2,Devin Nunes
California,23,57.2,40.5,Kevin McCarthy
California,24,36.9,60.7,Salud Carbajal
California,25,43.9,54,Mike Garcia
California,26,36.5,61.4,Julia Brownley
California,27,30.8,67.2,Judy Chu
California,28,27.2,70.9,Adam Schiff
California,29,23.7,74.1,Tony Cárdenas
California,30,29.4,68.7,Brad Sherman
California,31,38.9,58.8,Pete Aguilar
California,32,32.8,65.2,Grace Napolitano
California,33,29,69,Ted Lieu
California,34,16.9,80.8,Jimmy Gomez
California,35,32.6,65.1,Norma Torres
California,36,42.3,55.9,Raul Ruiz
California,37,13.8,84.3,Karen Bass
California,38,32.3,65.6,Linda Sánchez
California,39,44,54.1,Gil Cisneros
California,40,20.6,77.1,Lucille Roybal-Allard
California,41,36.1,61.7,Mark Takano
California,42,52.7,45.4,Ken Calvert
California,43,20.9,76.9,Maxine Waters
California,44,19.2,78.4,Nanette Barragán
California,45,43.3,54.6,Katie Porter
California,46,33.8,64.1,Lou Correa
California,47,35.3,62.5,Alan Lowenthal
California,48,48.3,49.7,Harley Rouda
California,49,42.6,55.2,Mike Levin
California,50,52.7,45,Darrell Issa
California,51,30.9,66.9,Juan Vargas
California,52,34.2,63.7,Scott Peters
California,53,30.9,67,Susan Davis
Colorado,1,22.1,75.6,Diana DeGette
Colorado,2,33.6,63.7,Joe Neguse
Colorado,3,51.6,46.1,Scott Tipton
Colorado,4,56.6,40.8,Ken Buck
Colorado,5,54.7,41.8,Doug Lamborn
Colorado,6,39.3,58.2,Jason Crow
Colorado,7,37.1,60,Ed Perlmutter
Connecticut,1,35.3,63.3,John Larson
Connecticut,2,43.5,54.5,Joe Courtney
Connecticut,3,38.8,59.9,Rosa DeLauro
Connecticut,4,34.5,64.2,Jim Himes
Connecticut,5,43.9,54.6,Jahana Hayes
Delaware,1,39.77,58.74,Lisa Blunt Rochester
Florida,1,65.9,32.4,Matt Gaetz
Florida,2,67,32,Neal Dunn
Florida,3,56,42.8,Ted Yoho
Florida,4,59.9,38.9,John Rutherford
Florida,5,36.2,62.7,Al Lawson
Florida,6,58.3,40.8,Michael Waltz
Florida,7,44.2,54.6,Stephanie Murphy
Florida,8,58.3,40.6,Bill Posey
Florida,9,46,52.9,Darren Soto
Florida,10,37,62,Val Demings
Florida,11,65.4,33.8,Daniel Webster
Florida,12,57.9,41,Gus Bilirakis
Florida,13,47.4,51.5,Charlie Crist
Florida,14,41.6,57.2,Kathy Castor
Florida,15,53.7,45.2,Ross Spano
Florida,16,53.6,45.5,Vern Buchanan
Florida,17,63.3,35.9,Greg Steube
Florida,18,53.9,45.5,Brian Mast
Florida,19,59.7,39.6,Francis Rooney
Florida,20,22.1,77.3,Alcee Hastings
Florida,21,41.2,58.2,Lois Frankel
Florida,22,42.3,57.2,Ted Deutch
Florida,23,41.2,58.3,Debbie Wasserman Schultz
Florida,24,24,75.4,Frederica Wilson
Florida,25,61.2,38.2,Mario Díaz-Balart
Florida,26,52.5,46.9,Debbie Mucarsel-Powell
Florida,27,48.1,51.3,Donna Shalala
Georgia,1,55.5,43.1,Buddy Carter
Georgia,2,43.4,55.7,Sanford Bishop
Georgia,3,62.0,36.8,Drew Ferguson
