State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
Alabama,1,14,0.9983803415614677,0.988029123930648
Alabama,2,18,0.9997958411746329,0.9969569832160343
Alabama,3,15,0.9990346377390219,0.9914893607576533
Alabama,4,23,0.999984690466664,0.9994555210753621
Alabama,5,14,0.9983803415614677,0.988029123930648
Alabama,6,28,0.9999988521639184,0.9999027778877991
Alabama,7,-17,6.520745225477089e-05,0.001886599350606166
Arizona,1,3,0.6736134392975257,0.6506784766166059
Arizona,2,2,0.5514303783586642,0.5689006323590344
Arizona,3,-7,0.011468132135143845,0.05601271081983976
Arizona,4,16,0.9994247690655725,0.9939555191259565
Arizona,5,16,0.9994247690655725,0.9939555191259565
Arizona,6,10,0.9872756262519052,0.9541135447176505
Arizona,7,-12,0.0008690328686931893,0.010479365179576662
Arizona,8,13,0.9972837870096883,0.9831858897585969
Arizona,9,1,0.4227070194754694,0.483184213485355
Arkansas,1,7,0.9425169118321327,0.880864848020504
Arkansas,2,5,0.8533121446172204,0.7877363374689069
Arkansas,3,16,0.9994247690655725,0.9939555191259565
Arkansas,4,9,0.9788203567440139,0.9364314226572514
California,1,10,0.9872756262519052,0.9541135447176505
California,2,-19,2.3135570441704853e-05,0.0009478155679051013
California,3,-1,0.20621142917686522,0.31938491799328894
California,4,10,0.9872756262519052,0.9541135447176505
California,5,-18,3.884105675128634e-05,0.00133732372105446
California,6,-13,0.0005178109095391292,0.0074470069269608665
California,7,3,0.6736134392975257,0.6506784766166059
California,8,12,0.9954482187433324,0.9764299019497752
California,9,-2,0.1340008919635905,0.24950470698379365
California,10,5,0.8533121446172204,0.7877363374689069
California,11,-17,6.520745225477089e-05,0.001886599350606166
California,12,-35,5.807750072894164e-09,3.821386482995125e-06
California,13,-37,2.0605000445791613e-09,1.91803999806756e-06
California,14,-23,2.9121813116823747e-06,0.00023894811972414512
California,15,-15,0.00018377271254659704,0.0037517293847961685
California,16,-2,0.1340008919635905,0.24950470698379365
California,17,-18,3.884105675128634e-05,0.00133732372105446
