State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (%),2016 Trump (%)
Alabama,1,14,61.84,63.5,61.84,63.5
Alabama,2,18,62.9,64.9,62.9,64.9
Alabama,3,15,62.3,65.3,62.3,65.3
Alabama,4,23,74.8,80.4,74.8,80.4
Alabama,5,14,63.87,64.7,63.87,64.7
Alabama,6,28,74.3,70.8,74.3,70.8
Alabama,7,-17,27.12,28.6,27.12,28.6
Arizona,1,3,50.42,47.7,50.42,47.7
Arizona,2,2,49.94,44.7,49.94,44.7
Arizona,3,-7,36.94,32.5,36.94,32.5
Arizona,4,16,67.19,67.7,67.19,67.7
Arizona,5,16,63.76,57.6,63.76,57.6
Arizona,6,10,59.52,52.4,59.52,52.4
Arizona,7,-12,26.51,22.6,26.51,22.6
Arizona,8,13,61.68,58.1,61.68,58.1
Arizona,9,1,46.59,38.4,46.59,38.4
Arkansas,1,7,60.98,65.0,60.98,65.0
Arkansas,2,5,54.75,52.4,54.75,52.4
Arkansas,3,16,65.47,61.9,65.47,61.9
Arkansas,4,9,61.83,64.2,61.83,64.2
California,1,10,56.56,55.0,56.56,55.0
California,2,-19,26.96,23.0,26.96,23.0
California,3,-1,43.1,40.0,43.1,40.0
California,4,10,57.87,53.0,57.87,53.0
California,5,-18,27.46,24.0,27.46,24.0
California,6,-13,28.28,24.0,28.28,24.0
California,7,3,46.8,40.0,46.8,40.0
California,8,12,55.63,55.0,55.63,55.0
California,9,-2,40.13,37.0,40.13,37.0
California,10,5,47.0,45.0,47.0,45.0
California,11,-17,29.96,22.0,29.96,22.0
California,12,-35,12.5,9.0,12.5,9.0
California,13,-37,8.97,7.0,8.97,7.0
California,14,-23,23.56,18.0,23.56,18.0
California,15,-15,29.8,24.0,29.8,24.0
California,16,-2,39.36,36.0,39.36,36.0
California,17,-18,25.54,20.0,25.54,20.0
California,18,-18,28.93,20.0,28.93,20.0
California,19,-16,26.5,22.0,26.5,22.0
California,20,-19,26.19,23.0,26.19,23.0
California,21,3,43.54,39.0,43.54,39.0
California,22,12,56.59,51.0,56.59,51.0
California,23,18,61.51,58.0,61.51,58.0
California,24,-3,43.11,36.0,43.11,36.0
California,25,6,49.66,43.0,49.66,43.0
California,26,-2,43.73,35.0,43.73,35.0
California,27,-9,35.0,28.0,35.0,28.0
California,28,-19,26.54,22.0,26.54,22.0
