State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
Alabama,1,14,0.9983786787146792,0.9880286421484608
Alabama,2,18,0.9997955597404138,0.9969568562032253
Alabama,3,15,0.9990335614988052,0.9914890146477628
Alabama,4,23,0.9999846626492032,0.9994554975218557
Alabama,5,14,0.9983786787146792,0.9880286421484608
Alabama,6,28,0.999998849575018,0.9999027735425656
Alabama,7,-17,6.531740986085565e-05,0.0018865391788779882
Arizona,1,3,0.6735991023685272,0.6506699260896507
Arizona,2,2,0.5514358942496351,0.568891475802566
Arizona,3,-7,0.011477317033437363,0.05601087149340324
Arizona,4,16,0.9994240771480278,0.9939552709968434
Arizona,5,16,0.9994240771480278,0.9939552709968434
Arizona,6,10,0.9872671089845784,0.9541118109472355
Arizona,7,-12,0.000870116650498475,0.010479019144397502
Arizona,8,13,0.9972812387131679,0.9831852210531473
Arizona,9,1,0.42273381572432595,0.4831749609843627
Arkansas,1,7,0.9424944103047977,0.8808607813658753
Arkansas,2,5,0.8532820728056519,0.7877299526405168
Arkansas,3,16,0.9994240771480278,0.9939552709968434
Arkansas,4,9,0.9788081165482252,0.936429082157556
California,1,10,0.9872671089845784,0.9541118109472355
California,2,-19,2.3178641200975163e-05,0.0009477858458170695
California,3,-1,0.2062580556572305,0.3193769868679006
California,4,10,0.9872671089845784,0.9541118109472355
California,5,-18,3.89099598059716e-05,0.0013372814227621142
California,6,-13,0.0005185022532277386,0.007446762361515429
California,7,3,0.6735991023685272,0.6506699260896507
California,8,12,0.9954443530802614,0.9764289775139728
California,9,-2,0.13404410522504243,0.24949792805851903
California,10,5,0.8532820728056519,0.7877299526405168
California,11,-17,6.531740986085565e-05,0.0018865391788779882
California,12,-35,5.826714924306054e-09,3.821283849154992e-06
California,13,-37,2.0675903133453006e-09,1.917989569921646e-06
California,14,-23,2.918624374782235e-06,0.0002389408919178783
California,15,-15,0.00018405035793924045,0.0037516078330491775
California,16,-2,0.13404410522504243,0.24949792805851903
California,17,-18,3.89099598059716e-05,0.0013372814227621142
California,18,-18,3.89099598059716e-05,0.0013372814227621142
California,19,-16,0.00010964512910895951,0.00266079092979828
California,20,-19,2.3178641200975163e-05,0.0009477858458170695
California,21,3,0.6735991023685272,0.6506699260896507
California,22,12,0.9954443530802614,0.9764289775139728
California,23,18,0.9997955597404138,0.9969568562032253
California,24,-3,0.08442413888664353,0.19062607814605936
California,25,6,0.9070902253241444,0.8396937868652009
California,26,-2,0.13404410522504243,0.24949792805851903
California,27,-9,0.004103069275282102,0.02891988192999098
California,28,-19,2.3178641200975163e-05,0.0009477858458170695
California,29,-21,8.22498631229618e-06,0.00047593911738350313
California,30,-13,0.0005185022532277386,0.007446762361515429
California,31,-2,0.13404410522504243,0.24949792805851903
California,32,-9,0.004103069275282102,0.02891988192999098
California,33,-12,0.000870116650498475,0.010479019144397502
California,34,-28,2.1891784755213126e-07,4.2654615160802155e-05
California,35,-10,0.002448218990342115,0.020662920697178594
California,36,3,0.6735991023685272,0.6506699260896507
California,37,-33,1.642037417082073e-08,7.613275330295405e-06
California,38,-9,0.004103069275282102,0.02891988192999098
California,39,7,0.9424944103047977,0.8808607813658753
California,40,-25,1.0356660492377264e-06,0.0001199439329688179
California,41,-3,0.08442413888664353,0.19062607814605936
California,42,12,0.9954443530802614,0.9764289775139728
California,43,-23,2.918624374782235e-06,0.0002389408919178783
California,44,-29,1.3040719880782796e-07,3.021965392763813e-05
California,45,8,0.9649290899200337,0.9125569112723472
California,46,-3,0.08442413888664353,0.19062607814605936
California,47,-5,0.03168330244275846,0.10571686202800692
California,48,8,0.9649290899200337,0.9125569112723472
California,49,5,0.8532820728056519,0.7877299526405168
California,50,14,0.9983786787146792,0.9880286421484608
California,51,-11,0.0014598247260918594,0.014727663679606219
California,52,-1,0.2062580556572305,0.3193769868679006
California,53,-7,0.011477317033437363,0.05601087149340324
Colorado,1,-17,6.531740986085565e-05,0.0018865391788779882
Colorado,2,-8,0.006868797674662523,0.04034043629381306
Colorado,3,4,0.7760064414856918,0.7244494020391539
Colorado,4,12,0.9954443530802614,0.9764289775139728
Colorado,5,15,0.9990335614988052,0.9914890146477628
Colorado,6,1,0.42273381572432595,0.4831749609843627
Colorado,7,-3,0.08442413888664353,0.19062607814605936
Connecticut,1,-12,0.000870116650498475,0.010479019144397502
Connecticut,2,-6,0.019118331974973705,0.07727837452479874
Connecticut,3,-9,0.004103069275282102,0.02891988192999098
Connecticut,4,-5,0.03168330244275846,0.10571686202800692
Connecticut,5,-2,0.13404410522504243,0.24949792805851903
Florida,1,21,0.9999567787299912,0.9989157507141828
Florida,2,3,0.6735991023685272,0.6506699260896507
Florida,3,12,0.9954443530802614,0.9764289775139728
Florida,4,19,0.9998782069009995,0.9978421263952784
Florida,5,-17,6.531740986085565e-05,0.0018865391788779882
Florida,6,6,0.9070902253241444,0.8396937868652009
Florida,7,5,0.8532820728056519,0.7877299526405168
Florida,8,8,0.9649290899200337,0.9125569112723472
Florida,9,-4,0.05206788089236413,0.14299885661911807
Florida,10,7,0.9424944103047977,0.8808607813658753
Florida,11,8,0.9649290899200337,0.9125569112723472
Florida,12,6,0.9070902253241444,0.8396937868652009
Florida,13,1,0.42273381572432595,0.4831749609843627
Florida,14,-11,0.0014598247260918594,0.014727663679606219
Florida,15,8,0.9649290899200337,0.9125569112723472
Florida,16,5,0.8532820728056519,0.7877299526405168
Florida,17,10,0.9872671089845784,0.9541118109472355
Florida,18,1,0.42273381572432595,0.4831749609843627
Florida,19,11,0.9923758941399452,0.9670490303906403
Florida,20,-28,2.1891784755213126e-07,4.2654615160802155e-05
Florida,21,-12,0.000870116650498475,0.010479019144397502
Florida,22,-5,0.03168330244275846,0.10571686202800692
Florida,23,-10,0.002448218990342115,0.020662920697178594
Florida,24,-33,1.642037417082073e-08,7.613275330295405e-06
Florida,25,8,0.9649290899200337,0.9125569112723472
Florida,26,3,0.6735991023685272,0.6506699260896507
Florida,27,5,0.8532820728056519,0.7877299526405168
Georgia,1,9,0.9788081165482252,0.936429082157556
Georgia,2,-4,0.05206788089236413,0.14299885661911807
Georgia,3,19,0.9998782069009995,0.9978421263952784
Georgia,4,-17,6.531740986085565e-05,0.0018865391788779882
Georgia,5,-31,4.627456229097689e-08,1.5168133390890086e-05
Georgia,6,14,0.9983786787146792,0.9880286421484608
Georgia,7,16,0.9994240771480278,0.9939552709968434
Georgia,8,15,0.9990335614988052,0.9914890146477628
Georgia,9,27,0.9999980687539585,0.9998627700109323
Georgia,10,13,0.9972812387131679,0.9831852210531473
Georgia,11,19,0.9998782069009995,0.9978421263952784
