State,District,Incumbent,Party,2012 PVI,2012 Obama (%),2012 Romney (%),2016 Trump (%),2016 Clinton (%),2020 Trump (%),2020 Biden (%)
Alabama,1,"BONNER, JO ",R,R+14,37.4,61.84,63.5,34.1,63.7,35.3
Alabama,2,"ROBY, MARTHA ",R,R+18,36.4,62.9,64.9,33.0,63.9,35.1
Alabama,3,"ROGERS, MIKE ",R,R+15,36.8,62.3,65.3,32.3,65.3,33.7
Alabama,4,"ADERHOLT, ROBERT B. ",R,R+23,23.98,74.8,80.4,17.4,81.2,17.8
Alabama,5,"BROOKS, MO ",R,R+14,34.85,63.87,64.7,31.3,62.7,35.7
Alabama,6,"BACHUS, SPENCER ",R,R+28,24.66,74.3,70.8,26.1,67.0,31.8
Alabama,7,"Sewell, Terri A. ",D,D+17,72.4,27.12,28.6,69.8,28.5,70.8
Alaska,1,"YOUNG, DON E. ",R,R+13,40.81,54.8,51.28,36.5,52.8,42.8
Arizona,1,"Kirkpatrick, Ann ",D,R+3,47.89,50.42,47.7,46.6,48.4,50.1
Arizona,2,"Barber, Ron ",D,R+2,48.37,49.94,44.7,49.6,43.9,54.5
Arizona,3,"Grijalva, Raul M. ",D,D+7,61.44,36.94,32.5,62.4,35.7,62.8
Arizona,4,"GOSAR, PAUL A. ",R,R+16,31.02,67.19,67.7,27.5,68.0,30.6
Arizona,5,"SALMON, MATT ",R,R+16,34.56,63.76,57.6,36.5,56.4,41.9
Arizona,6,"SCHWEIKERT, DAVID ",R,R+10,38.82,59.52,52.4,42.4,51.4,47.3
Arizona,7,"Pastor, Ed ",D,D+12,71.7,26.51,22.6,71.8,24.7,73.7
Arizona,8,"FRANKS, TRENT ",R,R+13,36.87,61.68,58.1,37.0,57.3,41.4
Arizona,9,"Sinema, Kyrsten ",D,R+1,51.12,46.59,38.4,54.7,37.3,60.8
Arkansas,1,"CRAWFORD, ERIC A. 'RICK' ",R,R+7,36.33,60.98,65.0,30.2,69.1,27.9
Arkansas,2,"GRIFFIN, TIM ",R,R+5,42.9,54.75,52.4,41.7,53.1,44.3
Arkansas,3,"WOMACK, STEVE ",R,R+16,31.6,65.47,61.9,30.5,61.9,35.2
Arkansas,4,"COTTON, TOM ",R,R+9,35.88,61.83,64.2,31.3,67.7,29.6
California,1,"LAMALFA, DOUG ",R,R+10,40.27,56.56,55,36.0,56.4,41.1
California,2,"Huffman, Jared ",D,D+19,69,26.96,23,69.0,23.9,73.6
California,3,"Garamendi, John ",D,D+1,54.3,43.1,40,53.0,42.7,54.9
California,4,"MCCLINTOCK, TOM ",R,R+10,39.53,57.87,53,39.0,53.7,43.9
California,5,"Thompson, Mike ",D,D+18,69.7,27.46,24,69.0,25.3,72.5
California,6,"Matsui, Doris O. ",D,D+13,69.14,28.28,24,68.0,27.2,70.3
California,7,"Bera, Ami ",D,R+3,50.75,46.8,40,51.0,41.9,55.7
California,8,"COOK, PAUL ",R,R+12,41.66,55.63,55,40.0,54.1,43.6
California,9,"McNerney, Jerry ",D,D+2,57.84,40.13,37,55.0,39.9,57.9
California,10,"DENHAM, JEFF ",R,R+5,50.64,47.0,45,48.0,47.4,50.3
California,11,"Miller, George ",D,D+17,67.64,29.96,22,70.0,23.6,74.3
California,12,"Pelosi, Nancy ",D,D+35,84.1,12.5,9,86.0,11.9,86.1
California,13,"Lee, Barbara ",D,D+37,87.5,8.97,7,87.0,9,89
California,14,"Speier, Jackie ",D,D+23,74.23,23.56,18,77.0,20.5,77.7
California,15,"Swalwell, Eric ",D,D+15,68,29.8,24,69.0,26.4,71.5
California,16,"Costa, Jim ",D,D+2,58.55,39.36,36,57.0,38.9,58.8
California,17,"Honda, Michael M. ",D,D+18,71.93,25.54,20,74.0,25.6,72.5
California,18,"Eshoo, Anna G. ",D,D+18,68.23,28.93,20,73.0,21.5,76.2
California,19,"Lofgren, Zoe ",D,D+16,71.21,26.5,22,73.0,27.9,70
California,20,"Farr, Sam ",D,D+19,70.89,26.19,23,70.0,25,72.7
California,21,"VALADAO, DAVID G. ",R,R+3,54.6,43.54,39,55.0,43.5,54.4
California,22,"NUNES, DEVIN G. ",R,R+12,41.58,56.59,51,42.0,51.7,46.2
California,23,"MCCARTHY, KEVIN ",R,R+18,36.13,61.51,58,36.0,57.2,40.5
California,24,"Capps, Lois ",D,D+3,54.1,43.11,36,56.0,36.9,60.7
California,25,"MCKEON, HOWARD P. 'BUCK' ",R,R+6,47.85,49.66,43,50.0,43.9,54
California,26,"Brownley, Julia ",D,D+2,54,43.73,35,57.0,36.5,61.4
California,27,"Chu, Judy ",D,D+9,62.62,35.0,28,66.0,30.8,67.2
California,28,"Schiff, Adam B. ",D,D+19,70.3,26.54,22,72.0,27.2,70.9
California,29,"Cardenas, Tony ",D,D+21,77,20.52,17,78.0,23.7,74.1
California,30,"Sherman, Brad ",D,D+13,65.3,32.1,26,69.0,29.4,68.7
California,31,"MILLER, GARY G. ",R,D+2,57.2,40.6,37,58.0,38.9,58.8
California,32,"Napolitano, Grace F. ",D,D+9,65.17,32.46,28,67.0,32.8,65.2
California,33,"Waxman, Henry A. ",D,D+12,60.6,36.77,27,68.0,29,69
