State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (Standardized),2016 Trump (Standardized)
Alabama,1,14,0.6476649463083152,0.6682619478536346,0.6231358323256752,0.6506147540983607
Alabama,2,18,0.6579631522505152,0.6805685420698807,0.6334340382678751,0.6629213483146068
Alabama,3,15,0.6531870352742647,0.6867045708044542,0.6286579212916247,0.6690573770491803
Alabama,4,23,0.7817674213323059,0.839733083325826,0.7572383073496659,0.8220858895705521
Alabama,5,14,0.6715104754088961,0.6916055270886072,0.6469813614262561,0.6739583333333333
Alabama,6,28,0.7753375214199885,0.7482973485540354,0.7508084074373484,0.7306501547987615
Alabama,7,-17,0.297037152567849,0.3082976002593389,0.272508038585209,0.29065040650406504
Arizona,1,3,0.5373965740579121,0.523479643384118,0.5128674600752721,0.5058324496288441
Arizona,2,2,0.5325140595629472,0.4916662817722409,0.5079849455803072,0.47401908801696707
Arizona,3,-7,0.40001193569437005,0.36011294717993136,0.37548282171173003,0.3424657534246575
Arizona,4,16,0.7086753312721218,0.7287816475367865,0.6841462172894818,0.7111344537815126
Arizona,5,16,0.6730238251299142,0.6297619652749339,0.6484947111472742,0.61211477151966
Arizona,6,10,0.6297762158740372,0.5703898097890292,0.6052471018913972,0.5527426160337553
Arizona,7,-12,0.29446089282389853,0.2570539734162908,0.2699317788412585,0.23940677966101695
Arizona,8,13,0.650404304241392,0.6285830507479133,0.6258751902587519,0.6109358569926394
Arizona,9,1,0.5013482727176722,0.4301069144856713,0.4768191587350322,0.41245972073039744
Arkansas,1,7,0.6511861893089168,0.7004203029989714,0.6266570753262768,0.6827731092436975
Arkansas,2,5,0.5852049972391684,0.5745016039571867,0.5606758832565284,0.5568544102019128
Arkansas,3,16,0.6989908426320683,0.6875606136686938,0.6744617286494283,0.6699134199134199
Arkansas,4,9,0.65732002586474,0.6898985026557974,0.6327909118821,0.6722513089005235
California,1,10,0.6086456068051124,0.6220427981508783,0.5841164928224724,0.6043956043956044
California,2,-19,0.3054795099809726,0.26764719375527385,0.2809503959983326,0.25
